horizon,Stress,SG_tau,CER,Pi,regime
1,1.0,0.0,0.0,0.0,absorptive
2,0.41279080995489575,0.5872091900451043,0.0,0.0,absorptive
3,0.007311007149396056,1.1255980248249892e-06,0.992687867252579,0.0,absorptive
4,0.048641774427469135,0.7955313238589797,0.002197433991146757,0.15362946772240435,absorptive
1,1.0,0.0,0.0,0.0,binding
2,0.4373096949880548,0.5626903050119452,0.0,0.0,binding
3,0.0020545646563388505,0.030302157539618,0.9676432778040429,0.0,binding
4,0.2608753282244093,0.6855657459158754,0.02865040683746298,0.024908519022252336,binding
