horizon,response,impulse,value
8,SG_tau,SG_tau,-0.04633469534955315
8,SG_tau,Phi_tau,0.012665943241042425
8,Phi_tau,Stress,3.3305761020195233
8,Phi_tau,A,5.9903126225780365
8,Phi_tau,SG_tau,-0.35060865001795816
8,Phi_tau,Phi_tau,1.065389870166603
9,Stress,Stress,0.6676002345956086
9,Stress,A,1.4163524752839933
9,Stress,SG_tau,-0.06280009643194402
9,Stress,Phi_tau,0.01540432275157251
9,A,Stress,-0.07078076113663323
9,A,A,-0.14576164565614874
9,A,SG_tau,0.006638716457416309
9,A,Phi_tau,-0.001756961553447598
9,SG_tau,Stress,0.47528728336317416
9,SG_tau,A,0.964872571595611
9,SG_tau,SG_tau,-0.04450456753094123
9,SG_tau,Phi_tau,0.011782143221719124
9,Phi_tau,Stress,3.6678865008358823
9,Phi_tau,A,6.711499071159367
9,Phi_tau,SG_tau,-0.38238948212491164
9,Phi_tau,Phi_tau,1.0734984742011149
10,Stress,Stress,0.6314668516553725
10,Stress,A,1.34638631187395
10,Stress,SG_tau,-0.059380989955752986
10,Stress,Phi_tau,0.013240096688290345
10,A,Stress,-0.06727390530439392
10,A,A,-0.1407455698290829
10,A,SG_tau,0.006317899519858242
10,A,Phi_tau,-0.0015677579504559495
10,SG_tau,Stress,0.45257486842200567
10,SG_tau,A,0.9385933060799309
10,SG_tau,SG_tau,-0.042459600044273876
10,SG_tau,Phi_tau,0.010634839821179333
10,Phi_tau,Stress,3.9867482151480047
10,Phi_tau,A,7.394578196153101
10,Phi_tau,SG_tau,-0.41240400720037584
10,Phi_tau,Phi_tau,1.0804664929835943
11,Stress,Stress,0.59627044384099
11,Stress,A,1.276007796480416
11,Stress,SG_tau,-0.05603639257143321
11,Stress,Phi_tau,0.01111979220604637
11,A,Stress,-0.0637596529798907
11,A,A,-0.13475785078306057
11,A,SG_tau,0.005990333234277665
11,A,Phi_tau,-0.0013672743744286785
11,SG_tau,Stress,0.42947460937470433
11,SG_tau,A,0.9027424295870143
11,SG_tau,SG_tau,-0.0403281849643205
11,SG_tau,Phi_tau,0.00935983695998097
11,Phi_tau,Stress,4.287772027060026
11,Phi_tau,A,8.040549398656166
11,Phi_tau,SG_tau,-0.4407148436873045
11,Phi_tau,Phi_tau,1.0863378293975443
12,Stress,Stress,0.5621212373054141
12,Stress,A,1.2063658716604948
12,Stress,SG_tau,-0.052784370259347416
12,Stress,Phi_tau,0.009063502868227827
12,A,Stress,-0.060292003288661376
12,A,A,-0.12829708629998948
12,A,SG_tau,0.0056637935166376245
12,A,Phi_tau,-0.0011640599596605982
12,SG_tau,Stress,0.40648731851688724
12,SG_tau,A,0.8619353163633278
12,SG_tau,SG_tau,-0.03817635960639219
12,SG_tau,Phi_tau,0.008036579872888947
12,Phi_tau,Stress,4.571565136984787
12,Phi_tau,A,8.650542923867457
12,Phi_tau,SG_tau,-0.46737970071141227
12,Phi_tau,Phi_tau,1.091157650112043
13,Stress,Stress,0.5290693545976581
13,Stress,A,1.138173100892499
13,Stress,SG_tau,-0.049632542206712316
13,Stress,Phi_tau,0.00708094595704481
13,A,Stress,-0.056901237514398705
13,A,A,-0.12166169121778302
13,A,SG_tau,0.005342580212442824
13,A,Phi_tau,-0.0009629565106602589
13,SG_tau,Stress,0.38389769211020974
13,SG_tau,A,0.8189106263017978
13,SG_tau,SG_tau,-0.03604356963091644
13,SG_tau,Phi_tau,0.0067095446199912125
13,Phi_tau,Stress,4.8387258380839
13,Phi_tau,A,9.225728550043982
13,Phi_tau,SG_tau,-0.49245528078615053
13,Phi_tau,Phi_tau,1.0949704867083734
14,Stress,Stress,0.4971313862551597
14,Stress,A,1.0718023613308023
14,Stress,SG_tau,-0.046584798969325485
14,Stress,Phi_tau,0.0051769311479894255
14,A,Stress,-0.053603909975103725
14,A,A,-0.1150228134558844
14,A,SG_tau,0.005029145373058279
14,A,Phi_tau,-0.00076673290492874
14,SG_tau,Stress,0.3618647165540104
14,SG_tau,A,0.7752415141435135
14,SG_tau,SG_tau,-0.033953336115751374
14,SG_tau,Phi_tau,0.005404634515718812
14,Phi_tau,Stress,5.089840237783287
14,Phi_tau,A,9.767280207603344
14,Phi_tau,SG_tau,-0.5159976778211973
14,Phi_tau,Phi_tau,1.097820109386278
15,Stress,Stress,0.4663039421284439
